epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4712,3.46603,4.30902,4.16358,0.00189,0.00808,0.00205,0.00042,3.51146,3.85713,4.07323,0.0701765,0.00331373,0.00331373
2,34.9784,3.32675,4.00314,4.0208,0.00127,0.3575,0.00262,0.00053,3.26317,4.74945,3.95398,0.0401655,0.00663609,0.00663609
3,49.9622,3.0946,3.81628,3.77674,0.52962,0.06236,0.01149,0.00321,2.67986,4.49505,3.50065,0.0101435,0.00994746,0.00994746
4,64.9871,2.86646,3.50936,3.43055,0.56696,0.14434,0.05068,0.01509,2.56833,3.91855,3.13796,0.0099505,0.0099505,0.0099505
5,79.994,2.71885,3.16359,3.21898,0.60687,0.12587,0.07811,0.02345,2.62503,3.17558,3.11481,0.009934,0.009934,0.009934
6,94.9236,2.62072,2.9901,3.09259,0.33966,0.57035,0.35165,0.11264,2.40666,3.23041,2.94189,0.0099175,0.0099175,0.0099175
7,109.782,2.50376,2.79921,2.98408,0.46462,0.41536,0.37618,0.14097,2.33682,2.44751,2.89714,0.009901,0.009901,0.009901
8,124.684,2.34818,2.63871,2.83535,0.38753,0.40024,0.31496,0.12581,2.30931,2.47257,2.86416,0.0098845,0.0098845,0.0098845
9,139.639,2.23929,2.48876,2.71775,0.32485,0.49947,0.37831,0.14244,2.15045,2.75609,2.72462,0.009868,0.009868,0.009868
10,154.296,2.09378,2.33715,2.57776,0.72239,0.47916,0.53766,0.2469,2.07611,1.93815,2.63388,0.0098515,0.0098515,0.0098515
11,169.192,2.00465,2.19226,2.47076,0.51752,0.31838,0.35183,0.1472,2.23735,2.74147,2.81119,0.009835,0.009835,0.009835
12,184.1,1.91051,2.05034,2.36553,0.62448,0.54165,0.60704,0.28677,1.97117,1.81653,2.54873,0.0098185,0.0098185,0.0098185
13,199.093,1.83023,1.92612,2.2852,0.6345,0.6869,0.72218,0.37193,1.6673,1.46929,2.22008,0.009802,0.009802,0.009802
14,214.03,1.75892,1.81074,2.20047,0.74669,0.58924,0.69391,0.3524,1.73633,1.55429,2.28953,0.0097855,0.0097855,0.0097855
15,229.006,1.74622,1.78944,2.20281,0.83722,0.69131,0.79457,0.43299,1.53846,1.26418,2.12368,0.009769,0.009769,0.009769
16,243.902,1.73311,1.69065,2.17671,0.74658,0.72677,0.79111,0.44199,1.51022,1.32243,2.09923,0.0097525,0.0097525,0.0097525
17,258.635,1.66169,1.5942,2.09925,0.80885,0.60957,0.71086,0.35967,1.66575,1.5382,2.31518,0.009736,0.009736,0.009736
18,273.562,1.64649,1.5777,2.08929,0.83363,0.69466,0.79281,0.44034,1.5301,1.2308,2.06592,0.0097195,0.0097195,0.0097195
