epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5192,3.50852,4.31813,4.13903,0.00089,0.26305,0.00191,0.00031,3.63659,3.7648,4.20224,0.0701579,0.00331579,0.00331579
2,33.6019,3.25302,3.97778,3.88691,0.52274,0.02711,0.00887,0.00155,3.16668,3.6523,3.80882,0.0401469,0.00663815,0.00663815
3,46.3642,2.89468,3.57889,3.5099,0.02877,0.07329,0.01404,0.00339,2.73974,4.34295,3.25808,0.010125,0.00994951,0.00994951
4,59.1888,2.6037,3.1581,3.15028,0.1112,0.11946,0.07324,0.02134,2.49347,6.69071,3.06587,0.0099505,0.0099505,0.0099505
5,72.0147,2.38123,2.88535,2.87226,0.24647,0.26061,0.31173,0.12978,2.10432,2.64472,2.73569,0.009934,0.009934,0.009934
6,84.7003,2.20789,2.59882,2.69068,0.76586,0.55408,0.6344,0.27671,1.92378,2.39148,2.58768,0.0099175,0.0099175,0.0099175
7,97.3382,2.0356,2.28326,2.51331,0.72714,0.63439,0.67995,0.30431,1.95944,1.86149,2.53563,0.009901,0.009901,0.009901
8,109.996,1.94398,2.132,2.39376,0.9001,0.65292,0.74031,0.37493,1.77597,1.60965,2.38186,0.0098845,0.0098845,0.0098845
9,122.646,1.83873,1.9297,2.2759,0.81461,0.7128,0.79289,0.40858,1.69978,1.53581,2.29699,0.009868,0.009868,0.009868
10,135.279,1.76958,1.8392,2.158,0.8817,0.73274,0.82322,0.42073,1.64036,1.44348,2.16441,0.0098515,0.0098515,0.0098515
11,147.877,1.73138,1.77788,2.13138,0.88851,0.74934,0.83197,0.44663,1.58276,1.36013,2.08108,0.009835,0.009835,0.009835
12,160.452,1.67028,1.68585,2.07934,0.84273,0.68738,0.8095,0.41123,1.69666,1.43061,2.24109,0.0098185,0.0098185,0.0098185
13,173.091,1.65725,1.60482,2.04874,0.82104,0.74557,0.82581,0.41423,1.51629,1.37723,2.05715,0.009802,0.009802,0.009802
14,185.554,1.60324,1.5354,2.00231,0.90701,0.79335,0.8631,0.44395,1.52704,1.15839,2.02871,0.0097855,0.0097855,0.0097855
15,198.122,1.59739,1.5133,2.00305,0.83533,0.76784,0.83386,0.39622,1.66879,1.21776,2.15385,0.009769,0.009769,0.009769
16,210.588,1.59769,1.48761,1.99065,0.92759,0.81053,0.88657,0.49434,1.42709,1.04474,1.90856,0.0097525,0.0097525,0.0097525
17,223.051,1.55925,1.44217,1.94223,0.89508,0.79792,0.86654,0.45229,1.54254,1.09628,2.04494,0.009736,0.009736,0.009736
18,235.545,1.53916,1.40578,1.92161,0.92709,0.81858,0.88948,0.49746,1.43753,0.9816,1.92128,0.0097195,0.0097195,0.0097195
19,247.96,1.5021,1.3675,1.89367,0.9105,0.83608,0.89938,0.50592,1.4106,0.97889,1.88347,0.009703,0.009703,0.009703
20,260.384,1.47747,1.30778,1.86316,0.94575,0.78028,0.89438,0.51017,1.40589,0.96589,1.86765,0.0096865,0.0096865,0.0096865
