epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,212.139,1.54611,1.29908,1.68115,0.92772,0.75929,0.8655,0.4778,1.49935,1.07882,1.78825,0.009307,0.009307,0.009307
44,216.901,1.55602,1.3416,1.68217,0.88776,0.76875,0.84527,0.46866,1.55213,1.04387,1.79699,0.0092905,0.0092905,0.0092905
45,221.71,1.53413,1.28207,1.66154,0.94593,0.76796,0.86646,0.50117,1.47552,1.0465,1.77296,0.009274,0.009274,0.009274
46,226.504,1.52864,1.26595,1.65247,0.86958,0.74138,0.84591,0.48491,1.48236,1.04976,1.75714,0.0092575,0.0092575,0.0092575
47,231.337,1.53517,1.25982,1.65167,0.92981,0.75892,0.86168,0.47521,1.54835,1.08566,1.7899,0.009241,0.009241,0.009241
48,236.12,1.52347,1.25741,1.652,0.95248,0.79071,0.87591,0.53317,1.46111,0.96611,1.71641,0.0092245,0.0092245,0.0092245
49,240.976,1.48699,1.23844,1.60062,0.9241,0.81506,0.88481,0.53521,1.42683,1.04597,1.68618,0.009208,0.009208,0.009208
50,245.787,1.49271,1.25154,1.61033,0.89546,0.81382,0.86604,0.50921,1.46071,0.93278,1.72444,0.0091915,0.0091915,0.0091915
51,250.594,1.47969,1.18365,1.58453,0.91201,0.81382,0.87842,0.48923,1.53213,1.05725,1.78291,0.009175,0.009175,0.009175
52,255.379,1.45735,1.15409,1.56338,0.97963,0.80731,0.89616,0.52442,1.44886,0.94638,1.722,0.0091585,0.0091585,0.0091585
53,260.189,1.4901,1.22541,1.60958,0.94403,0.81041,0.87602,0.52309,1.39561,1.01119,1.69168,0.009142,0.009142,0.009142
54,264.975,1.41428,1.14151,1.55199,0.89649,0.8052,0.87952,0.49017,1.46681,0.94099,1.73285,0.0091255,0.0091255,0.0091255
55,269.754,1.46253,1.16451,1.56909,0.94764,0.81972,0.8995,0.50967,1.44427,0.8719,1.73044,0.009109,0.009109,0.009109
56,274.596,1.4449,1.16124,1.5675,0.92428,0.83782,0.90905,0.55694,1.40487,0.91965,1.67557,0.0090925,0.0090925,0.0090925
57,279.426,1.42599,1.15738,1.55665,0.9381,0.81315,0.90387,0.53291,1.42819,0.84895,1.68965,0.009076,0.009076,0.009076
58,284.188,1.44419,1.16055,1.56435,0.95762,0.85768,0.91438,0.5372,1.40009,0.85816,1.66996,0.0090595,0.0090595,0.0090595
59,288.966,1.42626,1.16152,1.54556,0.95628,0.82797,0.91257,0.53742,1.40409,0.82266,1.67073,0.009043,0.009043,0.009043
60,293.748,1.40472,1.11337,1.53695,0.9152,0.80126,0.86771,0.50609,1.44713,0.89262,1.72376,0.0090265,0.0090265,0.0090265
61,298.524,1.41733,1.12837,1.5181,0.93713,0.83112,0.89821,0.5321,1.35647,0.89115,1.63145,0.00901,0.00901,0.00901
62,303.33,1.40528,1.11195,1.5463,0.95468,0.8081,0.91235,0.54008,1.39962,0.85213,1.71256,0.0089935,0.0089935,0.0089935
63,308.115,1.41895,1.12758,1.55297,0.91862,0.86343,0.91316,0.51926,1.40498,0.87537,1.65676,0.008977,0.008977,0.008977
64,312.914,1.39209,1.13064,1.54265,0.94825,0.8379,0.91309,0.54116,1.36478,0.84861,1.64717,0.0089605,0.0089605,0.0089605
65,317.71,1.42512,1.0912,1.53125,0.94421,0.84619,0.90922,0.52861,1.50794,0.86537,1.75087,0.008944,0.008944,0.008944
66,322.476,1.39071,1.06837,1.5162,0.9278,0.84301,0.90682,0.54845,1.41302,0.84247,1.6884,0.0089275,0.0089275,0.0089275
67,327.261,1.35592,1.05094,1.50346,0.95882,0.83727,0.89709,0.51769,1.43631,0.84878,1.67241,0.008911,0.008911,0.008911
68,332.075,1.38831,1.06329,1.5034,0.94338,0.83661,0.90466,0.5449,1.36033,0.83128,1.61389,0.0088945,0.0088945,0.0088945
69,336.879,1.3576,1.04895,1.50223,0.9374,0.85219,0.90833,0.56841,1.35114,0.78793,1.59963,0.008878,0.008878,0.008878
70,341.666,1.34037,1.04538,1.49159,0.97278,0.82238,0.91628,0.57152,1.3336,0.78157,1.59633,0.0088615,0.0088615,0.0088615
71,346.454,1.33871,1.02158,1.47985,0.93624,0.84131,0.92641,0.56082,1.36417,0.7895,1.6228,0.008845,0.008845,0.008845
72,351.343,1.35001,1.03103,1.48671,0.94401,0.83848,0.92106,0.55267,1.32592,0.81637,1.6024,0.0088285,0.0088285,0.0088285
73,356.185,1.35262,1.02851,1.48563,0.92242,0.85364,0.91333,0.56515,1.3503,0.78147,1.59965,0.008812,0.008812,0.008812
74,361.003,1.32256,0.99563,1.45862,0.91987,0.84071,0.90376,0.52696,1.42729,0.79949,1.67459,0.0087955,0.0087955,0.0087955
75,365.88,1.30757,0.95989,1.44615,0.89759,0.83495,0.91591,0.53962,1.45996,0.83138,1.74784,0.008779,0.008779,0.008779
76,370.728,1.31081,0.98394,1.45739,0.89675,0.85768,0.91287,0.57281,1.30894,0.78229,1.5827,0.0087625,0.0087625,0.0087625
77,375.564,1.31503,0.97168,1.47132,0.93831,0.84856,0.90225,0.54534,1.34429,0.80601,1.60913,0.008746,0.008746,0.008746
78,380.416,1.31348,0.97811,1.45225,0.94398,0.84774,0.90564,0.54427,1.34263,0.8215,1.60805,0.0087295,0.0087295,0.0087295
79,385.258,1.3078,0.99113,1.45578,0.95415,0.84481,0.92194,0.56843,1.30712,0.75058,1.56778,0.008713,0.008713,0.008713
80,390.101,1.30271,0.99303,1.4401,0.9809,0.81946,0.91076,0.54564,1.39846,0.82793,1.63668,0.0086965,0.0086965,0.0086965
81,394.893,1.32683,0.95978,1.46599,0.92277,0.85614,0.91677,0.53441,1.35144,0.79241,1.63177,0.00868,0.00868,0.00868
82,399.68,1.30965,1.02036,1.45088,0.89903,0.85215,0.91888,0.5561,1.36936,0.76605,1.6537,0.0086635,0.0086635,0.0086635
83,404.48,1.28677,0.94376,1.43648,0.96775,0.86328,0.92964,0.55978,1.33147,0.75288,1.61126,0.008647,0.008647,0.008647
84,409.303,1.2786,0.94689,1.42714,0.92087,0.87205,0.92916,0.57959,1.32539,0.75754,1.58592,0.0086305,0.0086305,0.0086305
85,414.108,1.3019,0.95808,1.45985,0.93274,0.86948,0.92461,0.56874,1.31989,0.79301,1.58437,0.008614,0.008614,0.008614
86,418.918,1.30367,0.9466,1.4404,0.92382,0.88975,0.92698,0.58633,1.25146,0.73816,1.53403,0.0085975,0.0085975,0.0085975
87,423.732,1.29008,0.91169,1.44804,0.9243,0.89822,0.93485,0.57861,1.27673,0.7537,1.55434,0.008581,0.008581,0.008581
88,428.503,1.28029,0.90374,1.41638,0.91116,0.8749,0.92662,0.58234,1.28121,0.73615,1.56449,0.0085645,0.0085645,0.0085645
89,433.275,1.26505,0.91433,1.42929,0.93063,0.87759,0.93721,0.58126,1.30967,0.75841,1.55729,0.008548,0.008548,0.008548
90,438.06,1.28195,0.90103,1.43062,0.96232,0.88936,0.94744,0.56819,1.3359,0.747,1.59032,0.0085315,0.0085315,0.0085315
91,442.841,1.26541,0.91529,1.41721,0.98281,0.8599,0.93681,0.57921,1.30731,0.74392,1.58389,0.008515,0.008515,0.008515
92,447.628,1.25757,0.91682,1.40919,0.93374,0.86225,0.92977,0.56837,1.30748,0.73635,1.58053,0.0084985,0.0084985,0.0084985
93,452.462,1.27642,0.92317,1.41378,0.94144,0.89742,0.93399,0.59831,1.29459,0.70575,1.56206,0.008482,0.008482,0.008482
94,457.269,1.25513,0.8957,1.38712,0.91931,0.89805,0.93248,0.57632,1.29372,0.72839,1.56365,0.0084655,0.0084655,0.0084655
95,462.044,1.27189,0.90877,1.42483,0.91609,0.89247,0.92609,0.57522,1.29535,0.76162,1.54366,0.008449,0.008449,0.008449
96,466.843,1.27035,0.91409,1.4266,0.96109,0.8609,0.93388,0.57614,1.28947,0.75211,1.57143,0.0084325,0.0084325,0.0084325
97,471.659,1.25439,0.90425,1.3965,0.95392,0.86918,0.93454,0.58625,1.3087,0.71249,1.57942,0.008416,0.008416,0.008416
98,476.475,1.24553,0.86813,1.38093,0.9153,0.89174,0.93183,0.58463,1.27568,0.72415,1.53983,0.0083995,0.0083995,0.0083995
99,481.285,1.21607,0.86762,1.3869,0.92268,0.84982,0.91944,0.5909,1.28171,0.7611,1.54787,0.008383,0.008383,0.008383
100,486.057,1.22159,0.87893,1.38129,0.93386,0.89262,0.93097,0.59828,1.28561,0.69887,1.54822,0.0083665,0.0083665,0.0083665
101,490.907,1.21295,0.86559,1.38035,0.8896,0.90126,0.9283,0.59152,1.29117,0.72212,1.57016,0.00835,0.00835,0.00835
102,495.722,1.2519,0.87395,1.39086,0.96142,0.87492,0.9369,0.589,1.30058,0.70963,1.54908,0.0083335,0.0083335,0.0083335
103,500.538,1.21847,0.87306,1.36818,0.9165,0.87255,0.92941,0.5916,1.25948,0.70932,1.52676,0.008317,0.008317,0.008317
104,505.372,1.22211,0.84755,1.36723,0.89215,0.89266,0.9303,0.59038,1.28244,0.70998,1.53208,0.0083005,0.0083005,0.0083005
105,510.216,1.22586,0.86831,1.36982,0.92959,0.87508,0.9211,0.57189,1.29745,0.70823,1.54083,0.008284,0.008284,0.008284
106,515.011,1.19319,0.86074,1.37697,0.9598,0.91065,0.94016,0.5998,1.23932,0.67975,1.49498,0.0082675,0.0082675,0.0082675
107,519.848,1.2099,0.83881,1.36693,0.97335,0.85421,0.93192,0.6004,1.23971,0.71195,1.505,0.008251,0.008251,0.008251
108,524.651,1.20357,0.85466,1.38002,0.95574,0.86763,0.92882,0.59052,1.27671,0.69446,1.54865,0.0082345,0.0082345,0.0082345
109,529.483,1.18523,0.84331,1.3521,0.93562,0.88069,0.93453,0.60213,1.27037,0.69151,1.52423,0.008218,0.008218,0.008218
110,534.265,1.20254,0.83097,1.36716,0.94779,0.87492,0.94187,0.59624,1.26463,0.70429,1.53444,0.0082015,0.0082015,0.0082015
111,539.084,1.21939,0.85644,1.36442,0.96217,0.86837,0.93749,0.60589,1.23258,0.71954,1.51723,0.008185,0.008185,0.008185
112,543.905,1.15299,0.78041,1.31057,0.9053,0.91132,0.93779,0.59915,1.27805,0.70919,1.55367,0.0081685,0.0081685,0.0081685
113,548.694,1.20117,0.82849,1.36637,0.95614,0.90426,0.94378,0.59559,1.31895,0.69829,1.59527,0.008152,0.008152,0.008152
114,553.516,1.17957,0.82834,1.34286,0.97398,0.8759,0.93283,0.60372,1.26438,0.68158,1.5261,0.0081355,0.0081355,0.0081355
115,558.322,1.18571,0.82735,1.3412,0.95244,0.88344,0.93829,0.58863,1.25556,0.66454,1.52522,0.008119,0.008119,0.008119
116,563.138,1.17041,0.83218,1.33125,0.95269,0.87795,0.93627,0.60284,1.24618,0.69993,1.52329,0.0081025,0.0081025,0.0081025
117,567.969,1.19571,0.84807,1.34486,0.93659,0.86933,0.93228,0.58938,1.26088,0.68382,1.5257,0.008086,0.008086,0.008086
118,572.735,1.1946,0.82976,1.35702,0.94328,0.87492,0.91892,0.58258,1.26745,0.70552,1.53941,0.0080695,0.0080695,0.0080695
119,577.558,1.17734,0.83407,1.35621,0.94127,0.88082,0.93645,0.60427,1.24518,0.68708,1.51979,0.008053,0.008053,0.008053
120,582.323,1.18186,0.81771,1.35304,0.95372,0.89247,0.94073,0.62051,1.22706,0.688,1.50792,0.0080365,0.0080365,0.0080365
121,587.141,1.15943,0.80129,1.31865,0.91752,0.8712,0.92711,0.58799,1.29308,0.70487,1.56648,0.00802,0.00802,0.00802
122,591.965,1.16123,0.80542,1.32991,0.97652,0.89195,0.94352,0.60148,1.2515,0.65316,1.5123,0.0080035,0.0080035,0.0080035
123,596.76,1.15945,0.77978,1.30874,0.99078,0.87728,0.93959,0.61147,1.22543,0.66946,1.49371,0.007987,0.007987,0.007987
124,601.571,1.168,0.81487,1.34313,0.91853,0.86898,0.93952,0.60334,1.27554,0.70375,1.52937,0.0079705,0.0079705,0.0079705
125,606.393,1.16791,0.79939,1.32629,0.95266,0.86615,0.93463,0.57692,1.2739,0.71038,1.55216,0.007954,0.007954,0.007954
126,611.205,1.16245,0.79891,1.33088,0.93644,0.87434,0.93706,0.59991,1.25362,0.67612,1.53555,0.0079375,0.0079375,0.0079375
127,616.029,1.17836,0.78601,1.31994,0.93327,0.86328,0.93965,0.6092,1.23975,0.65712,1.53167,0.007921,0.007921,0.007921
128,620.837,1.15825,0.81046,1.34147,0.92667,0.88432,0.9417,0.60954,1.23611,0.67484,1.50789,0.0079045,0.0079045,0.0079045
