epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3411,3.61995,4.40092,4.11484,0.00177,0.00755,0.00066,0.00012,3.8313,7.17968,5.12607,0.070119,0.00332011,0.00332011
2,40.0015,3.21465,3.96914,3.78231,0.07003,0.09139,0.04305,0.01003,2.96071,3.99232,3.28691,0.0401125,0.00664685,0.00664685
3,57.5939,2.87138,3.3461,3.36619,0.47988,0.47844,0.40929,0.09728,2.85547,3.65355,3.3052,0.0100993,0.009967,0.009967
4,75.0889,2.67005,2.83795,3.0833,0.3608,0.5603,0.40409,0.12079,2.39636,2.31963,2.80523,0.0099703,0.0099703,0.0099703
5,92.4982,2.38429,2.42377,2.81208,0.55433,0.53437,0.56347,0.22298,2.0481,2.07181,2.47571,0.0099604,0.0099604,0.0099604
6,109.913,2.10725,2.09898,2.57573,0.73133,0.72245,0.72681,0.29933,1.93661,1.57372,2.38755,0.0099505,0.0099505,0.0099505
7,127.317,1.93632,1.83838,2.40021,0.82117,0.7668,0.81058,0.38592,1.7148,1.51389,2.20641,0.0099406,0.0099406,0.0099406
8,144.713,1.84064,1.73475,2.29816,0.80863,0.75298,0.81526,0.4078,1.71097,1.33747,2.22428,0.0099307,0.0099307,0.0099307
9,162.012,1.72645,1.58092,2.1899,0.91942,0.78711,0.87619,0.4254,1.67457,1.20752,2.10624,0.0099208,0.0099208,0.0099208
10,179.428,1.68374,1.52564,2.09958,0.90662,0.8387,0.89563,0.48896,1.51701,1.11171,2.02108,0.0099109,0.0099109,0.0099109
11,196.842,1.63792,1.46748,2.07626,0.90464,0.8244,0.89109,0.47962,1.50084,1.10791,2.02777,0.009901,0.009901,0.009901
12,214.166,1.61723,1.42152,2.05035,0.94239,0.84644,0.90898,0.47287,1.4896,1.06709,1.97708,0.0098911,0.0098911,0.0098911
13,231.55,1.60408,1.36689,2.0305,0.93978,0.86564,0.92338,0.49663,1.4948,0.95761,1.972,0.0098812,0.0098812,0.0098812
14,248.926,1.55973,1.31733,1.96869,0.93604,0.86112,0.92112,0.50157,1.4787,0.98003,1.96396,0.0098713,0.0098713,0.0098713
15,266.404,1.53884,1.30781,1.97006,0.92106,0.82898,0.89694,0.42916,1.56465,1.08398,2.01005,0.0098614,0.0098614,0.0098614
16,283.754,1.52113,1.27013,1.94141,0.94511,0.85798,0.9128,0.49764,1.46844,0.92932,1.92706,0.0098515,0.0098515,0.0098515
17,301.127,1.5151,1.2908,1.94665,0.93291,0.87528,0.93317,0.49906,1.47994,0.96316,1.9366,0.0098416,0.0098416,0.0098416
18,318.504,1.50447,1.24727,1.93189,0.92463,0.86188,0.89582,0.43018,1.57117,1.05115,2.00322,0.0098317,0.0098317,0.0098317
19,335.788,1.49668,1.22281,1.91766,0.9425,0.86899,0.91752,0.49462,1.4587,0.91617,1.93246,0.0098218,0.0098218,0.0098218
20,353.209,1.47258,1.1925,1.89443,0.95739,0.88703,0.93511,0.50162,1.44571,0.876,1.9253,0.0098119,0.0098119,0.0098119
