epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.63012,3.68833,4.97468,4.2408,0.00025,0.06034,0.00019,6e-05,4.09429,3.6954,4.13631,0.082,0.002,0.002
2,13.5793,3.63826,4.64974,4.18979,0.00025,0.06322,0.00019,6e-05,3.97249,3.79282,4.0705,0.0630932,0.00409323,0.00409323
3,18.4683,3.56359,4.35913,4.13036,0.00027,0.06897,0.00019,6e-05,3.86322,3.81124,4.00815,0.0441795,0.00617954,0.00617954
4,23.3473,3.50886,4.27115,4.06836,0.00039,0.0977,0.00029,7e-05,3.7167,3.80508,3.92628,0.0252589,0.00825891,0.00825891
5,28.1577,3.39452,4.17645,3.98697,0.00524,0.04325,0.00241,0.00048,3.47675,3.96445,7.67032,0.009934,0.009934,0.009934
6,33.0148,3.14639,4.01182,3.81768,0.00041,0.1523,0.00028,7e-05,nan,nan,nan,0.0099175,0.0099175,0.0099175
7,37.8859,2.95805,3.78083,3.55601,0.00224,0.36797,0.00208,0.00063,2.82726,inf,9.67412,0.009901,0.009901,0.009901
8,42.8214,2.81334,3.48461,3.37736,0.00719,0.34785,0.00531,0.00145,2.74533,inf,3.9599,0.0098845,0.0098845,0.0098845
9,47.7884,2.7375,3.33081,3.25994,0.04846,0.17816,0.05727,0.0165,2.40721,24.7253,2.93555,0.009868,0.009868,0.009868
10,52.63,2.66429,3.14276,3.15639,0.552,0.12356,0.04744,0.01303,2.55745,15.7437,2.9869,0.0098515,0.0098515,0.0098515
11,57.3969,2.60404,3.03109,3.06513,0.08831,0.14383,0.05612,0.01563,2.39931,4.7442,2.80243,0.009835,0.009835,0.009835
12,62.1635,2.54143,2.99085,3.03448,0.24303,0.28645,0.17074,0.06479,2.37069,4.09417,2.82466,0.0098185,0.0098185,0.0098185
13,66.9537,2.5264,2.89057,3.00172,0.32893,0.28524,0.24359,0.09556,2.41775,5.00496,2.86116,0.009802,0.009802,0.009802
14,71.701,2.41695,2.76913,2.90781,0.53349,0.33122,0.373,0.15745,2.39065,3.90957,2.8283,0.0097855,0.0097855,0.0097855
15,76.5748,2.37878,2.59958,2.84835,0.45046,0.25784,0.24859,0.08784,2.41951,11.458,2.84271,0.009769,0.009769,0.009769
16,81.3624,2.30945,2.56819,2.78065,0.69787,0.47414,0.47879,0.17523,2.16436,9.89679,2.59957,0.0097525,0.0097525,0.0097525
17,86.1498,2.21339,2.40936,2.68695,0.37607,0.44567,0.31028,0.11917,2.1133,6.60488,2.62118,0.009736,0.009736,0.009736
18,91.0441,2.18243,2.41417,2.65165,0.49563,0.42574,0.39118,0.17021,2.16398,5.43371,2.63,0.0097195,0.0097195,0.0097195
19,95.8038,2.08695,2.30188,2.53612,0.69284,0.50039,0.55903,0.27118,2.02642,2.72986,2.53953,0.009703,0.009703,0.009703
20,100.544,2.06456,2.20552,2.51464,0.68844,0.53864,0.61032,0.29155,1.94628,2.37766,2.50304,0.0096865,0.0096865,0.0096865
21,105.3,2.0217,2.14801,2.43984,0.63012,0.59846,0.61358,0.3102,1.87146,1.81515,2.37449,0.00967,0.00967,0.00967
22,110.076,1.94549,2.02318,2.3649,0.64151,0.54615,0.64177,0.29975,1.87545,2.30194,2.33944,0.0096535,0.0096535,0.0096535
23,114.841,1.89183,1.9066,2.30216,0.79503,0.67941,0.74781,0.37905,1.69135,2.09619,2.20091,0.009637,0.009637,0.009637
24,119.582,1.87092,1.82772,2.25676,0.65399,0.52827,0.53479,0.23267,2.00688,1.94064,2.58093,0.0096205,0.0096205,0.0096205
25,124.328,1.81454,1.74708,2.18961,0.73661,0.61116,0.64593,0.29264,1.88275,2.72771,2.45547,0.009604,0.009604,0.009604
26,129.071,1.80379,1.77953,2.20487,0.82818,0.59347,0.67779,0.3292,1.77897,1.7688,2.3754,0.0095875,0.0095875,0.0095875
27,133.826,1.75158,1.68908,2.13877,0.85325,0.65983,0.72141,0.36681,1.6905,1.69468,2.15522,0.009571,0.009571,0.009571
28,138.59,1.72182,1.63785,2.08303,0.8784,0.68417,0.80352,0.4499,1.62876,1.24751,2.10226,0.0095545,0.0095545,0.0095545
29,143.333,1.6913,1.59414,2.07306,0.80326,0.738,0.79606,0.42052,1.66369,1.4158,2.15563,0.009538,0.009538,0.009538
30,148.045,1.69092,1.5826,2.04279,0.82464,0.68407,0.74958,0.40038,1.70695,1.34946,2.22332,0.0095215,0.0095215,0.0095215
31,152.779,1.68854,1.56566,2.03695,0.86547,0.75735,0.82601,0.45731,1.52566,1.5516,2.02517,0.009505,0.009505,0.009505
32,157.527,1.66153,1.5101,2.00831,0.83508,0.74955,0.81774,0.44585,1.55364,1.22427,2.03848,0.0094885,0.0094885,0.0094885
33,162.243,1.63751,1.46878,1.9757,0.85639,0.77055,0.8277,0.43092,1.62037,1.21497,2.09842,0.009472,0.009472,0.009472
34,166.978,1.62012,1.43679,1.94047,0.90372,0.70312,0.81434,0.37965,1.61466,1.1697,2.11334,0.0094555,0.0094555,0.0094555
35,171.707,1.57894,1.43096,1.94876,0.79718,0.72656,0.77408,0.4046,1.61771,1.18274,2.11921,0.009439,0.009439,0.009439
36,176.468,1.56424,1.38861,1.9246,0.83782,0.74667,0.82019,0.41079,1.58098,1.12218,2.02997,0.0094225,0.0094225,0.0094225
37,181.209,1.57568,1.39397,1.91656,0.92419,0.69162,0.80999,0.44959,1.55732,1.13522,2.01415,0.009406,0.009406,0.009406
38,186.125,1.59081,1.4005,1.93101,0.74964,0.78493,0.8234,0.4445,1.61748,1.13043,2.12078,0.0093895,0.0093895,0.0093895
39,190.883,1.5199,1.36084,1.86686,0.88433,0.7868,0.86148,0.5051,1.45205,0.98108,1.93837,0.009373,0.009373,0.009373
40,195.52,1.52436,1.32806,1.85984,0.90985,0.81001,0.85764,0.49258,1.46655,1.01205,1.95287,0.0093565,0.0093565,0.0093565
41,200.177,1.5449,1.31087,1.86577,0.89016,0.75129,0.85099,0.48881,1.47557,1.03618,1.93473,0.00934,0.00934,0.00934
42,205.602,1.55182,1.30303,1.87185,0.88131,0.77011,0.84259,0.46269,1.57095,1.0486,1.98817,0.0093235,0.0093235,0.0093235
43,211.347,1.50624,1.25983,1.81909,0.88416,0.79915,0.84728,0.48517,1.4395,1.19731,1.91186,0.009307,0.009307,0.009307
44,217.064,1.48115,1.24594,1.81699,0.9134,0.77624,0.87343,0.47854,1.5621,0.96153,2.02503,0.0092905,0.0092905,0.0092905
45,222.85,1.50501,1.28152,1.82748,0.93679,0.72701,0.85279,0.46528,1.59219,1.05006,2.08398,0.009274,0.009274,0.009274
46,228.601,1.47053,1.19114,1.78071,0.89055,0.82275,0.88121,0.49738,1.45739,1.05649,1.93898,0.0092575,0.0092575,0.0092575
47,234.343,1.48663,1.20092,1.80332,0.89577,0.73672,0.81661,0.42679,1.64889,1.11621,2.10268,0.009241,0.009241,0.009241
48,239.916,1.45829,1.20469,1.79945,0.97404,0.78193,0.87063,0.49607,1.50942,0.98591,1.94872,0.0092245,0.0092245,0.0092245
